Chicken/Turkey Pot Pie, Easy, Long,01-24-2019
Chicken Cordon Blue + veggies, Easy, Medium,01-23-2019
Fish and Chips, Easy, Short,12-22-2018
Orange Chicken w/Fried Rice,easy,fast,01-27-2019
Steak and Fries,,,12-22-2018
Hamburger Helper - Mac and Cheese,,,12-22-2018
Chicken Helper,,,01-25-2019
Chicken Thighs w/Mac and Cheese,,,12-22-2018
Teriyaki Chicken w/Fried Rice,easy,fast,12-22-2018
Crackers Cold Cuts and Cheese, easy, fast,12-22-2018
Porkchops in Cream of MushRoom Soup/w Mashed Potatoes,medium,medium,12-22-2018
Spaghetti, easy, medium,12-22-2018
Honey Garlic Ribs w/rice,,,12-22-2018
Honey Garlic Chicken w/rice,,,01-22-2019
Sheppard's Pie, easy, medium,01-26-2019
Hamburger's and Fries,,,12-22-2018
Pork Loin and oven roasted potatoes,,,12-22-2018
Homemade Pizza,,,01-21-2019
